"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRNP",843.434667041554,-0.139243710461271,0.219505351689231,-0.634352235103624,0.525850974202756,1
"CYTB",52894.6877144146,-0.0893819214312303,0.185079103768722,-0.482939022348648,0.629139033349031,1
"ND6",21250.8907131965,-0.0748147634247012,0.238592533007465,-0.313567078070966,0.753849867152433,1
"ND5",44853.409024541,-0.0695753777476559,0.168650339155806,-0.412542175105735,0.679942074648236,1
"ND4",73279.1574715405,-0.0272742403801285,0.228087238675004,-0.119578107651129,0.904817362830798,1
"ND4L",5884.74541177823,0.0188186162949035,0.147108834343478,0.12792308754867,0.898209839931336,1
"ND3",9125.963536774,-0.148189823641471,0.223960318167913,-0.661678929793119,0.508177010967325,1
"COX3",46830.9827937492,-0.157776587798719,0.214366440886753,-0.736013469020885,0.461722500954871,1
"ATP6",32259.2242844194,-0.0873204740291572,0.282099390181021,-0.309537975155226,0.756912329551114,1
"ATP8",1454.54566961464,-0.132906212489998,0.257554801103981,-0.516030809444475,0.605832891128876,1
"COX2",112952.5529797,-0.124191520036887,0.17749328823981,-0.699696992874982,0.484116554846267,1
"COX1",190661.580110263,-0.126805255112556,0.164799840440437,-0.76945010852961,0.441626151587541,1
"ND2",21662.2007418454,-0.0806360997897966,0.207752362907849,-0.388135656611346,0.697915646162803,1
"ND1",31535.852220819,-0.123595679679965,0.164543385643532,-0.751143409360271,0.452566353378912,1
"RNR2",117975.708917011,0.0602593267337108,0.116238401240553,0.518411523993738,0.604171175998359,1
"RNR1",21872.9771529213,-0.113324244948493,0.125768327738573,-0.90105551203681,0.367558805147485,1
"TRNF",6.14181344167763,-1.10362645351197,0.924472635552042,-1.19379028764107,0.232560011809141,1
"EPS8L1",997.911481097466,-0.0364213390229077,0.131193436009814,-0.277615558602971,0.781307487421038,1
"RDH13",544.633275415154,0.114972212057489,0.129165818099741,0.890113295831168,0.373405054400683,1
"GP6",1.44495792902599,-3.27328680078624,2.27171000783199,-1.44089113025042,0.149615442287058,1
"GP6-AS1",49.8810041281811,0.111267584177645,0.352860428515612,0.315330298287391,0.752510882844301,1
"CDC42EP5",174.934145049118,-0.123203264162277,0.361849331729578,-0.340482221076341,0.733493409399487,1
"LENG9",337.380528597357,-0.0563895587210893,0.174561125016898,-0.323036178390983,0.746667843233971,1
"LENG8",1446.21952329323,0.161589282958212,0.236693769947265,0.682693435463951,0.494800578674951,1
"LENG8-AS1",29.1940378297441,0.452552007152068,0.355501868621149,1.2729947353226,0.203019910042527,1
"TTYH1",11.9865157833944,-0.591464105377185,0.676907101653485,-0.873774412962151,0.382241117388402,1
"RPS9",14557.2803158186,-0.164429879164763,0.228766066280187,-0.718768661097547,0.472283470001642,1
"TSEN34",2293.28543564584,-0.0819225521510685,0.172728175427494,-0.474285981127943,0.635295987037689,1
"MBOAT7",3343.70376472485,-0.00243297350221861,0.104225417681216,-0.0233433797277753,0.981376369111209,1
"TMC4",1304.82946370002,-0.166046229183051,0.112746368213727,-1.47274126709152,0.140820814631127,1
"LENG1",267.726791012279,-0.131869337705618,0.249984600176015,-0.527509845057531,0.597839581494692,1
"LOC102724273",4.67691449711331,0.176222108192125,1.0218581045837,0.172452620771568,0.863081706390498,1
"CNOT3",975.383897764661,-0.0339809114992083,0.111672402750776,-0.304291039345189,0.760906171259715,1
"PRPF31-AS1",9.04743892113583,1.06822192802623,0.678974805426786,1.57328654832012,0.115652482662946,1
