"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00343847779955597,8,225,5.23386779184248,"GO:0033002 Muscle cell proliferation ","https://amigo.geneontology.org/amigo/term/GO:0033002"," EDN1  HMOX1  IGFBP3  TNF  CCL5  APOE  DDIT3  CDKN1A"
0.00343847779955597,4,40,14.720253164557,"GO:0051385 Response to mineralocorticoid ","https://amigo.geneontology.org/amigo/term/GO:0051385"," EDN1  CDKN1A  FOSB  FOSL1"
0.00343847779955597,9,286,4.63224749933611,"GO:0051896 Regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction ","https://amigo.geneontology.org/amigo/term/GO:0051896"," PHLDA3  GDF15  GAS6  AKR1C3  CCL5  SESN2  PRR5  TNF  DDIT3"
0.00343847779955597,13,574,3.33385524632823,"GO:0071407 Cellular response to organic cyclic compound ","https://amigo.geneontology.org/amigo/term/GO:0071407"," SSTR5  SLC5A5  CYP1A1  ADCY5  IFIT1  AKR1C3  TGM2  CYP24A1  EDN1  ID3  KLF2  DDIT4  PAQR7"
0.00349100789514468,3,16,27.6004746835443,"GO:0016322 Neuron remodeling ","https://amigo.geneontology.org/amigo/term/GO:0016322"," RND1  NTN4  C3"
0.00354702619002947,27,1882,2.11183228184398,"GO:0048585 Negative regulation of response to stimulus ","https://amigo.geneontology.org/amigo/term/GO:0048585"," FHL2  SESN2  DDIT4  PHLDA3  APOE  ICAM1  GDF15  PSCA  GAS6  TNF  CCL5  BAX  SOX9  LIF  RGS16  DHRS3  ATF3  BDKRB2  CHST11  DDIT3  TSKU  OAS1  HMOX1  SNAI1  AMER2  IGFBP3  EDN1"
0.00355994843315512,9,289,4.58416188515615,"GO:0071695 Anatomical structure maturation ","https://amigo.geneontology.org/amigo/term/GO:0071695"," RND1  NTN4  EDN1  EPAS1  CDKN1A  C3  KLF2  ADAMTS7  DDIT3"
0.00360958796351498,13,579,3.30506547736167,"GO:0001525 Angiogenesis ","https://amigo.geneontology.org/amigo/term/GO:0001525"," HMOX1  TGM2  TNF  EDN1  EPAS1  GADD45A  C3  EDN2  ARHGAP22  ANGPTL4  TGFBI  KLF2  LOXL2"
0.00364717940060102,6,120,7.36012658227848,"GO:0033559 Unsaturated fatty acid metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0033559"," AKR1C1  AKR1C3  EDN1  EDN2  MGLL  CYP1A1"
0.00366351681490456,18,1007,2.63122698075497,"GO:0043069 Negative regulation of programmed cell death ","https://amigo.geneontology.org/amigo/term/GO:0043069"," ICAM1  FHL2  ANGPTL4  GAS6  TNF  CCL5  EDN1  BAX  CDKN1A  SOX9  BTG2  BDKRB2  CHST11  NUPR1  HMOX1  DHRS2  SNAI1  PRR5"
0.00390193124898108,4,42,14.0192887281495,"GO:0008207 C21-steroid hormone metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0008207"," AKR1C1  AKR1C3  CYP1A1  DHRS2"
0.00390193124898108,4,42,14.0192887281495,"GO:0048384 Retinoic acid receptor signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0048384"," DHRS3  KLF2  AKR1C3  TRIM16"
0.00392474556623794,16,836,2.81727333292956,"GO:0001932 Regulation of protein phosphorylation ","https://amigo.geneontology.org/amigo/term/GO:0001932"," EDN1  CDKN1A  C3  LIF  APOE  SESN2  IGFBP3  GAS6  TNF  CCL5  PPP2R5B  FGF22  BAX  GADD45A  BDKRB2  CSF1"
0.00392474556623794,3,17,25.9769173492182,"GO:0016114 Terpenoid biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0016114"," ALDH1A3  AKR1C3  CYP1A1"
0.00392474556623794,14,668,3.08508299855984,"GO:0032787 Monocarboxylic acid metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0032787"," AKR1C1  AKR1C3  EDN1  EDN2  CYP1A1  ALDH1A3  MGLL  SOX9  C3  GDF15  SESN2  SLC45A3  DDIT4  NUPR1"
