"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0126027591315361,76,1562,1.41277308613913,"GO:0003700 Dna-binding transcription factor activity ","https://amigo.geneontology.org/amigo/term/GO:0003700"," ZNF195  E2F2  ZBTB11  REST  ZNF302  CDC5L  HIF1A  ZNF451  BBX  ATF2  MYB  ZNF430  KLF12  E2F8  CLOCK  ZNF189  ZNF92  THRB  GABPA  BACH1  REL  ZNF148  ZNF12  ZNF367  E2F7  ZNF146  ZNF83  RBPJ  ZNF30  FOXN2  ZNF160  ZNF680  MGA  NR1D2  ZNF519  USF3  ZBTB33  ZNF518A  ZFP3  RFX7  ZNF708  ZNF438  ZNF730  ZFP1  MYBL1  ZNF267  ZNF566  ZBTB6  ZNF793  ZNF600  ZNF724  ZNF681  ZNF107  ZNF799  ZNF136  ZNF700  ZNF675  ZNF695  ZNF84  ZNF770  ZKSCAN8  ZNF616  ZNF611  ZNF891  ZNF736  ZNF718  ZNF260  ZNF850  ZNF224  ZFX  BRCA1  TRPS1  NR5A2  PRDM10  GPBP1  ZBED6"
0.0132836969338414,9,79,3.307922059451,"GO:0008080 N-acetyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0008080"," KAT2B  HAT1  KAT7  KAT6B  ESCO2  ATF2  BRCA2  NCOA1  CLOCK"
0.0145948700488836,5,26,5.58388552770575,"GO:0008139 Nuclear localization sequence binding ","https://amigo.geneontology.org/amigo/term/GO:0008139"," TNPO1  NUP153  RANBP6  KPNA2  KPNA5"
0.0147053466863981,13,147,2.56782763042795,"GO:0004519 Endonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0004519"," DICER1  MRE11  N4BP2  DIS3  DNA2  EME1  EXO1  ERCC4  GEN1  DCLRE1C  POLQ  RBBP8  SLFN11"
0.0149690819543258,4,16,7.25905118601748,"GO:0010484 Histone h3 acetyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0010484"," KAT2B  KAT7  KAT6B  BRCA2"
0.0149690819543258,4,16,7.25905118601748,"GO:0016888 Endodeoxyribonuclease activity producing 5-prime-phosphomonoesters ","https://amigo.geneontology.org/amigo/term/GO:0016888"," DICER1  DNA2  EXO1  GEN1"
0.0149690819543258,4,16,7.25905118601748,"GO:0035613 Rna stem-loop binding ","https://amigo.geneontology.org/amigo/term/GO:0035613"," RC3H2  RC3H1  EPRS1  DDX3X"
0.0150383119320885,17,222,2.22349315607743,"GO:0019902 Phosphatase binding ","https://amigo.geneontology.org/amigo/term/GO:0019902"," STRN  CTTNBP2NL  ATP2B4  WNK1  CEP192  SHOC2  HSP90B1  DZIP3  HSP90AA1  SBF2  CDC27  MET  NEK2  AP3B1  IQGAP1  PIK3R1  MASTL"
0.0159218415724797,37,648,1.65793144372004,"GO:0008134 Transcription factor binding ","https://amigo.geneontology.org/amigo/term/GO:0008134"," PER3  NCOA1  NCOA2  NCOR1  NRIP1  ATF2  CNOT1  TRIP12  RBPJ  DDX3X  PIAS1  RFC1  REST  CBX5  BTAF1  CAND1  CENPF  TRIM24  RB1  NCAPG2  RAD21  ERCC4  TP53BP1  HIF1A  RBBP8  NBN  TCERG1  KAT2B  STRN  NR5A2  CIT  CCNT1  THRB  SUZ12  PRKDC  MED14  TAF1B"
0.0159218415724797,3,8,10.8885767790262,"GO:0017108 5-prime-flap endonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0017108"," DNA2  EXO1  GEN1"
0.0159218415724797,3,8,10.8885767790262,"GO:1990814 Dna/dna annealing activity ","https://amigo.geneontology.org/amigo/term/GO:1990814"," RECQL  RAD54L  BLM"
0.0159924270682055,10,98,2.96287803510917,"GO:0004527 Exonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0004527"," DIS3  XRN1  DCLRE1C  EXO1  ERI2  ENPP1  DCLRE1A  MRE11  CNOT1  PAN3"
0.0161108253633471,5,27,5.37707495260554,"GO:0070577 Lysine-acetylated histone binding ","https://amigo.geneontology.org/amigo/term/GO:0070577"," PSME4  ZZZ3  ATAD2B  TRIM24  PHIP"
0.0182561703555595,21,307,1.98618990106016,"GO:0019207 Kinase regulator activity ","https://amigo.geneontology.org/amigo/term/GO:0019207"," IBTK  DBF4  CCNT1  KIDINS220  CCNA2  PIK3R1  CCNB2  CCNE2  SOCS4  NBN  CIT  IL6ST  IQGAP1  TOPBP1  DDX3X  KAT2B  PIK3CA  WNK1  LRP6  MALT1  TAOK1"
0.0187838714314576,5,28,5.18503656144106,"GO:0140033 Acetylation-dependent protein binding ","https://amigo.geneontology.org/amigo/term/GO:0140033"," PSME4  ZZZ3  ATAD2B  TRIM24  PHIP"
0.0210546515034506,32,548,1.69554480257343,"GO:0004842 Ubiquitin-protein transferase activity ","https://amigo.geneontology.org/amigo/term/GO:0004842"," HLTF  BIRC2  TRAF6  ANKIB1  BRCA1  RC3H2  CCAR1  NEDD4  HACE1  HECTD1  MIB1  UBE4A  RC3H1  BARD1  UBR3  TRIP12  RNF20  MSL2  UBE2C  TTC3  TOPORS  DZIP3  TRIM59  TRIM24  MARCHF7  DTL  MALT1  PJA2  UBR7  RAD18  G2E3  CUL2"
0.0216345006402359,3,9,9.67873491468997,"GO:0008568 Microtubule severing atpase activity ","https://amigo.geneontology.org/amigo/term/GO:0008568"," FIGNL1  FIGN  KATNAL1"
0.0216345006402359,3,9,9.67873491468997,"GO:0035312 5-prime-3-prime dna exonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0035312"," DCLRE1C  EXO1  DCLRE1A"
0.0216345006402359,3,9,9.67873491468997,"GO:0043139 5-prime-3-prime dna helicase activity ","https://amigo.geneontology.org/amigo/term/GO:0043139"," BRIP1  DNA2  ZGRF1"
0.0216345006402359,3,9,9.67873491468997,"GO:0048256 Flap endonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0048256"," DNA2  EXO1  GEN1"
0.0216345006402359,3,9,9.67873491468997,"GO:0090556 Phosphatidylserine floppase activity ","https://amigo.geneontology.org/amigo/term/GO:0090556"," ATP11B  ATP11C  ATP8A1"
0.0239883529623244,2,3,19.3574698293799,"GO:0003918 Dna topoisomerase type ii (double strand cut atp-hydrolyzing) activity ","https://amigo.geneontology.org/amigo/term/GO:0003918"," TOP2B  TOP2A"
0.0239883529623244,2,3,19.3574698293799,"GO:0004748 Ribonucleoside-diphosphate reductase activity thioredoxin disulfide as acceptor ","https://amigo.geneontology.org/amigo/term/GO:0004748"," RRM1  RRM2"
0.0239883529623244,10,105,2.76535283276856,"GO:0016410 N-acyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0016410"," KAT2B  HAT1  KAT7  TLCD3B  KAT6B  ESCO2  ATF2  BRCA2  NCOA1  CLOCK"
0.0239883529623244,2,3,19.3574698293799,"GO:0032137 Guanine/thymine mispair binding ","https://amigo.geneontology.org/amigo/term/GO:0032137"," MSH2  MSH6"
0.0239883529623244,2,3,19.3574698293799,"GO:0032139 Dinucleotide insertion or deletion binding ","https://amigo.geneontology.org/amigo/term/GO:0032139"," MSH2  MSH3"
0.0239883529623244,2,3,19.3574698293799,"GO:0032549 Ribonucleoside binding ","https://amigo.geneontology.org/amigo/term/GO:0032549"," POLR3B  POLR2B"
0.0239883529623244,2,3,19.3574698293799,"GO:0035979 Histone h2axs139 kinase activity ","https://amigo.geneontology.org/amigo/term/GO:0035979"," ATR  PRKDC"
0.0239883529623244,6,43,4.05156345266092,"GO:0048487 Beta-tubulin binding ","https://amigo.geneontology.org/amigo/term/GO:0048487"," SMC3  TTLL7  LRPPRC  EML4  TAOK1  RACGAP1"
0.0239883529623244,2,3,19.3574698293799,"GO:0061731 Ribonucleoside-diphosphate reductase activity ","https://amigo.geneontology.org/amigo/term/GO:0061731"," RRM1  RRM2"
0.0239883529623244,2,3,19.3574698293799,"GO:1905773 8-hydroxy-2-deoxyguanosine dna binding ","https://amigo.geneontology.org/amigo/term/GO:1905773"," POT1  BLM"
0.0248186011061595,24,382,1.8242641724023,"GO:0003729 Mrna binding ","https://amigo.geneontology.org/amigo/term/GO:0003729"," AQR  RC3H2  SRBD1  ZNF638  PUM3  EIF3A  EIF4G2  SF3B1  PTBP3  THOC2  RC3H1  IREB2  NCBP1  LRPPRC  LARP7  DDX3X  PABPC4L  DCP1A  TPR  NSRP1  RNF20  DHX36  BCLAF1  HSP90AA1"
0.025634486773468,12,142,2.45376378118901,"GO:0042826 Histone deacetylase binding ","https://amigo.geneontology.org/amigo/term/GO:0042826"," MIER1  PKN2  CBX5  HIF1A  KAT2B  DHX36  NRIP1  HSP90AA1  NCOR1  NIPBL  TRAF6  KPNA2"
0.0274163554386859,3,10,8.71086142322097,"GO:0003689 Dna clamp loader activity ","https://amigo.geneontology.org/amigo/term/GO:0003689"," RFC3  DSCC1  RFC1"
0.0274163554386859,3,10,8.71086142322097,"GO:0051880 G-quadruplex dna binding ","https://amigo.geneontology.org/amigo/term/GO:0051880"," DHX36  BLM  XRN1"
