"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.02859361096217e-23,196,2693,2.11329228735154,"GO:0005856 Cytoskeleton ","https://amigo.geneontology.org/amigo/term/GO:0005856"," ANLN  SPDL1  OFD1  MPHOSPH9  ROCK1  CLASP1  GTSE1  PCM1  EPB41L2  ERC1  DNM1L  KIZ  KIF16B  KIF4A  KIAA0586  DAAM1  CEP192  KATNAL1  CCP110  ALMS1  SSX2IP  NEK2  CENPF  KIF14  CAMSAP2  CNTRL  PLS1  IFT81  TUBA1B  STIL  DLGAP5  MACF1  AKAP9  NES  ROCK2  HOOK1  ARHGAP32  CKAP2  CDK5RAP2  NUSAP1  KIF23  KIF11  KIF20B  CENPE  KIF21A  NEDD1  GAS2L3  CLTC  KIF2C  CTTNBP2NL  CCNA2  CEP78  ADD3  CENPJ  SKA1  TBC1D31  SASS6  CCNB2  RACGAP1  CLASP2  SPICE1  KIF15  SKA3  CEP295  C2CD3  CEP120  CKAP2L  KIF5B  CEP83  CEP135  CKAP5  CCNE2  CCDC14  RTTN  AURKB  CEP63  CEP57L1  KNTC1  KIF24  XRCC2  MYO6  TOPORS  OPA1  PRC1  CDC27  CENPQ  TPR  FNIP2  PPP1R12A  NDC1  WNK1  PKN2  ASPM  RAD18  SMC1A  HMMR  SPAG5  NDC80  TPX2  CDC45  CDC6  CDC7  MIB1  STAG2  PARP4  ARHGAP21  ANKRD26  SMC3  CAPRIN2  MDM1  C2CD5  FBXO5  MDN1  RAB23  KAT2B  ECT2  WDR11  MASTL  SHLD2  USP9X  RIBC2  MTUS1  SGO1  CLIP1  TOP2A  PATJ  CEP350  MARCHF7  LRPPRC  MYOF  CEP55  BRCA2  IQGAP1  NCOR1  PLK4  PRKACB  DTL  EML4  ARHGAP18  TAF5  CHEK1  NEK7  CENPU  BUB1B  RAPGEF6  TOPBP1  ZNF12  DLC1  TSC1  LEO1  CDK1  HASPIN  GEN1  PIK3R4  CD2AP  ITSN2  PJA2  DDX3X  ZBED6  PPP4R3B  PIAS1  KITLG  MAPK6  PTPN4  JAK2  TJP1  EIF3A  EHBP1  CTNNAL1  HSPH1  SYNE1  BORA  TTLL7  RB1  FRMD6  SSH2  PLEKHH2  AK9  WDR19  SMC6  PTPN13  RAD21  PDCD6IP  SHCBP1  FIGN  SCN8A  TAOK1  NCKAP1  DGKH  BRCA1  ZZZ3  DSN1  ZWILCH  PNN  TTK  USO1"
2.44943390029751e-23,70,473,4.29711275282219,"GO:0005819 Spindle ","https://amigo.geneontology.org/amigo/term/GO:0005819"," SPDL1  CLASP1  CENPF  DLGAP5  CDK5RAP2  NUSAP1  KIF11  NEDD1  CLTC  KIF2C  SKA1  RACGAP1  CLASP2  SPICE1  SKA3  CKAP2L  CKAP5  AURKB  KNTC1  PRC1  CDC27  TPR  WNK1  ASPM  SMC1A  HMMR  SPAG5  TPX2  KIF16B  CDC6  CDC7  STAG2  PARP4  KATNAL1  SMC3  FBXO5  ECT2  KIF14  SGO1  CKAP2  KIF23  KIF20B  CENPE  NCOR1  EML4  BUB1B  CEP295  CDK1  HASPIN  TOPORS  KIF4A  ALMS1  NEK2  CNTRL  MTUS1  CEP350  BORA  RB1  NEK7  SMC6  TOPBP1  KIF15  RAD21  SHCBP1  CEP63  ZZZ3  KAT2B  DSN1  ZWILCH  TTK"
1.3872635819185e-18,122,1450,2.44304619225968,"GO:0140513 Nuclear protein-containing complex ","https://amigo.geneontology.org/amigo/term/GO:0140513"," HLTF  ATF2  MYB  NCOA2  CDC27  DBF4  E2F2  BAZ1B  BRCA1  POLR3B  MRE11  AQR  BCLAF1  NUP160  POLR2B  TPR  NDC1  INTS13  TAF2  NUP133  POLD3  THOC1  DIS3  SUPT16H  CDC45  MSH2  NUP188  CDC5L  POLE2  PNN  POLA1  NBN  INTS2  DHX15  NUP107  MED23  NUP155  SF3B1  TAF1B  MSH6  NR5A2  HEATR1  NUP153  THOC2  POT1  E2F8  CCNT1  GINS2  XPO4  CLOCK  ORC3  KAT7  DSCC1  BARD1  RB1  INTS7  GINS4  TAF5  THRB  CWF19L2  RANBP2  NUP205  CWC22  PBRM1  NIPBL  E2F7  CPSF2  COPS2  CDK12  PHC3  MGA  ERCC4  SUZ12  MED14  FANCB  TAF9B  PRPF40A  XRCC2  PRIM1  RANBP17  MTREX  ARFGEF1  EPB41L2  NCOA1  ORC1  HIF1A  MSH3  PPWD1  DOCK7  DEK  ICE2  SYNE1  RFC3  BRCA2  NCOR1  DDX46  MMS22L  AHCTF1  ICE1  LEO1  LARP7  UBE2C  ARID2  LIN54  PRKDC  NUP50  CBX5  CEBPZ  TTF2  MED13L  NRIP1  MCM6  RBBP8  BRIP1  BACH1  BUB1B  TOPBP1  ATR  CDK19  ARID4A  REL  IPO7"
1.50347589475192e-17,94,986,2.76815745024602,"GO:0016604 Nuclear body ","https://amigo.geneontology.org/amigo/term/GO:0016604"," FAM76B  HECTD1  HIPK3  PNISR  USPL1  TRIP12  MORC3  RMI1  TOPORS  DENND1B  DBF4  HEATR5B  BRCA1  MRE11  BCLAF1  USP28  INTS13  PKN2  TP53BP1  RAD18  SPAG5  THOC1  PALB2  ATRX  HACE1  CDC5L  POLE2  HIF1A  ZC3H14  PNN  POLI  CENPI  OIP5  NBN  DHX15  ZNF451  ERBIN  PPWD1  SMC4  ECT2  SF3B1  NSRP1  ICE2  PRKAA1  TPP2  ORC3  USP15  SLTM  KNL1  BARD1  SCAF11  RB1  NCOA2  INTS7  FANCD2  CENPC  DDX46  ARHGAP18  NCAPG2  MKI67  DSN1  THRB  UHMK1  PLEKHH2  AHCTF1  SON  SMC6  CWC22  TOPBP1  NAA15  ICE1  VIRMA  E2F7  CDK12  ATF7IP  EXO1  DHX36  ATR  SUZ12  PRPF40A  BLM  PPP4R3B  PIAS1  MTREX  PSME4  ZNF638  XPO1  RBM27  ZNF106  THOC2  NOC3L  NRIP1  CBX5  TCERG1"
1.68775076106652e-17,44,249,5.13089561742601,"GO:0000228 Nuclear chromosome ","https://amigo.geneontology.org/amigo/term/GO:0000228"," MCM10  POLD3  POLE2  SMCHD1  POLA1  GINS2  ORC3  MMS22L  GINS4  SYCP2  PRIM1  WDHD1  BAZ1B  NCAPD2  BRCA1  ORC1  CDC5L  TOP2A  FIGNL1  SMC2  LRPPRC  BRCA2  CHEK1  CHD1  SMARCAD1  BLM  ATRX  SMC3  NCAPG  SMC4  NEK2  NCAPH  TRIM24  NCAPG2  ADD3  TOPBP1  RAD21  MCM6  CDC45  NCAPD3  ARID4A  EME1  PBRM1  SMC1A"
9.97437362371022e-16,124,1618,2.22527156258632,"GO:0099080 Supramolecular complex ","https://amigo.geneontology.org/amigo/term/GO:0099080"," SPDL1  RC3H2  PPP1R12A  ROCK1  CLASP1  GTSE1  NDC80  DNM1L  KIF16B  TDRD1  CENPI  TTK  KIF14  CAMSAP2  FASTKD2  PLS1  TUBA1B  CNOT1  MACF1  NES  RC3H1  CDK5RAP2  KIF23  KIF20B  CENPE  KIF21A  GAS2L3  KIF2C  NUF2  DSN1  SPC25  UHMK1  PAN3  SKA1  BUB1B  CLASP2  KIF15  SKA3  BUB1  KIF5B  MTBP  ZWILCH  CKAP5  AURKB  KNTC1  KIF24  OPA1  DDX3X  PABPC4L  DCP1A  NUP160  TPR  ATP2B4  ASPM  NUP133  SMC1A  SPAG5  XPO1  POLI  PARP4  KATNAL1  NUP107  NEK2  CENPF  HJURP  RIBC2  SGO1  CLIP1  SYNE1  ROCK2  KNL1  LRPPRC  KIF11  BARD1  IQGAP1  CLTC  EML4  CENPC  ARHGAP18  C9orf72  MBNL1  AHCTF1  TSC1  CEP295  CDK1  DHX36  MYO6  CD2AP  TP53BP1  TPX2  KIF4A  CBX5  EIF3A  MDM1  XRN1  KAT2B  EHBP1  HSPH1  CENPK  DEK  MTUS1  HOOK1  CLOCK  CKAP2  NUSAP1  TTLL7  NEK7  CENPU  CENPJ  SMG1  RACGAP1  CENPN  MTM1  FIGN  CEP57L1  ERCC6L  PRC1  CENPQ  NCKAP1  SLC8A1  SCN8A  PBRM1  ARID2  PNN"
1.00495691063679e-14,37,209,5.14038074416549,"GO:0072686 Mitotic spindle ","https://amigo.geneontology.org/amigo/term/GO:0072686"," CLASP1  CDK5RAP2  NUSAP1  KIF11  SKA1  RACGAP1  CKAP2L  PRC1  CDC27  TPR  WNK1  ASPM  SMC1A  SPAG5  TPX2  CDC6  CDC7  STAG2  SMC3  ECT2  DLGAP5  CKAP2  KIF23  KIF20B  CENPE  NCOR1  CLTC  EML4  SKA3  CEP295  CDK1  CNTRL  SMC6  AURKB  CLASP2  ZZZ3  KAT2B"
6.13138506993934e-13,33,189,5.06981352674237,"GO:0000922 Spindle pole ","https://amigo.geneontology.org/amigo/term/GO:0000922"," SPDL1  CENPF  DLGAP5  CDK5RAP2  NEDD1  CKAP5  AURKB  ASPM  SMC1A  SPAG5  TPX2  CDC6  STAG2  KATNAL1  SMC3  SGO1  KIF11  KIF20B  KNTC1  TOPORS  ALMS1  NEK2  CNTRL  CKAP2  NEK7  SMC6  TOPBP1  RAD21  CKAP2L  PRC1  KIF15  CEP63  DSN1"
7.46891470411142e-13,57,524,3.1585184549847,"GO:0005874 Microtubule ","https://amigo.geneontology.org/amigo/term/GO:0005874"," CLASP1  GTSE1  DNM1L  KIF16B  KIF14  CAMSAP2  TUBA1B  MACF1  CDK5RAP2  KIF23  KIF20B  CENPE  KIF21A  KIF2C  SKA1  CLASP2  KIF15  SKA3  KIF5B  CKAP5  AURKB  KNTC1  KIF24  OPA1  ASPM  SPAG5  PARP4  KATNAL1  RIBC2  CLIP1  LRPPRC  KIF11  IQGAP1  CLTC  EML4  ARHGAP18  CEP295  CDK1  TPX2  KIF4A  EIF3A  MDM1  NEK2  HSPH1  MTUS1  HOOK1  CKAP2  NUSAP1  TTLL7  GAS2L3  NEK7  CENPJ  RACGAP1  FIGN  CEP57L1  PRC1  ZWILCH"
2.42884713063725e-11,20,75,7.74298793175198,"GO:0005657 Replication fork ","https://amigo.geneontology.org/amigo/term/GO:0005657"," MCM10  POLD3  POLA1  RFC3  MMS22L  XRCC2  PRIM1  WDHD1  BAZ1B  MRE11  RFC1  RAD18  CDC5L  BRIP1  SMARCAD1  TP53BP1  NBN  CHEK1  BLM  EME1"
1.0702535893328e-10,32,214,4.34186239163662,"GO:0030496 Midbody ","https://amigo.geneontology.org/amigo/term/GO:0030496"," CEP55  RACGAP1  ANLN  PKN2  KIF4A  ECT2  CENPF  KIF14  KIF23  KIF20B  CENPE  IQGAP1  EML4  CENPC  C9orf72  RAD21  HSP90B1  PDCD6IP  CDK1  AURKB  PRC1  ASPM  EXOC5  SPAG5  EXOC1  EXOC2  NEK2  CNTRL  SYNE1  EXOC6  SHCBP1  TOPORS"
3.28872488517142e-10,29,185,4.55162128420555,"GO:0005814 Centriole ","https://amigo.geneontology.org/amigo/term/GO:0005814"," MPHOSPH9  PCM1  KIAA0586  CEP192  CCP110  STIL  NEDD1  CENPJ  SASS6  SPICE1  CEP295  C2CD3  CEP120  CEP83  CEP135  RTTN  CEP63  OFD1  MDM1  ALMS1  TOP2A  CEP350  PLK4  CEP78  KIF24  TOPORS  ROCK1  IFT81  CEP55"
1.49645117578333e-09,19,83,6.64684204984733,"GO:0000794 Condensed nuclear chromosome ","https://amigo.geneontology.org/amigo/term/GO:0000794"," SYCP2  BRCA1  LRPPRC  BRCA2  CHEK1  BLM  SMC3  NCAPG  SMC4  NEK2  NCAPH  SMC2  NCAPG2  ADD3  TOPBP1  RAD21  NCAPD2  NCAPD3  SMC1A"
2.40854521797287e-09,11,23,13.8868805297726,"GO:0000940 Outer kinetochore ","https://amigo.geneontology.org/amigo/term/GO:0000940"," SPDL1  NDC80  NUF2  DSN1  SPC25  SKA1  SKA3  CENPF  KNL1  BUB1B  BUB1"
